2026-03-16 14:37:49 | INFO     | main | Starting application — project root: C:\proyecto\derecho_peticion
2026-03-16 14:58:06 | INFO     | src.infrastructure.container | Gemini configured — model=gemini-2.5-flash key=SET
2026-03-16 14:58:06 | INFO     | src.infrastructure.adapters.output.doc_generator | DocxEngine output dir: C:\proyecto\derecho_peticion\generated_docs
2026-03-16 14:58:06 | INFO     | src.infrastructure.adapters.output.db_sqlite | SQLiteTenantRepository ready — C:\proyecto\derecho_peticion\legal_engine.db
2026-03-16 14:58:06 | INFO     | main | Container initialized successfully
2026-03-16 14:58:06 | INFO     | main | FastAPI app ready — routes registered
2026-03-16 14:59:03 | INFO     | src.infrastructure.adapters.input.api.routes | Generate request — tenant=legal-xyz template=Derechos fields=['cliente_nombre', 'cedula', 'entidad_demandada', 'hechos_crudos', 'direccion', 'correo', '_system_prompt']
2026-03-16 14:59:03 | INFO     | src.application.use_cases.generate_document | [529bb688-39ca-42c8-b84a-a0d4b4dd9736] Starting generation — tenant=legal-xyz template=Derechos
2026-03-16 14:59:03 | INFO     | google_genai.models | AFC is enabled with max remote calls: 10.
2026-03-16 14:59:21 | INFO     | httpx | HTTP Request: POST https://generativelanguage.googleapis.com/v1beta/models/gemini-2.5-flash:generateContent "HTTP/1.1 200 OK"
2026-03-16 14:59:21 | INFO     | src.application.use_cases.generate_document | [529bb688-39ca-42c8-b84a-a0d4b4dd9736] AI generation complete — 4684 chars
2026-03-16 14:59:21 | INFO     | src.infrastructure.adapters.output.doc_generator | Document saved: C:\proyecto\derecho_peticion\generated_docs\529bb688-39ca-42c8-b84a-a0d4b4dd9736_Derechos.docx
2026-03-16 14:59:21 | INFO     | src.application.use_cases.generate_document | [529bb688-39ca-42c8-b84a-a0d4b4dd9736] Document exported: 529bb688-39ca-42c8-b84a-a0d4b4dd9736_Derechos.docx
2026-03-16 14:59:21 | INFO     | src.infrastructure.adapters.input.api.routes | Document generated — tx=529bb688-39ca-42c8-b84a-a0d4b4dd9736
